City_ID,City,Cloudiness,Country,Humidity,Lat,Lng,Max Temp,Wind Speed
300,Marawi,100,PH,90,7.9986,124.2928,19.21,1.15
301,Orzu,100,TJ,49,37.5593,68.8184,8.22,2.28
302,Castro,7,BR,53,-24.7911,-50.0119,22.7,3.82
303,Pemangkat,100,ID,84,1.1667,108.9667,26.05,3.12
304,Cambrai,99,FR,95,50.1667,3.4167,10.68,1.79
305,Jumla,0,NP,30,29.2747,82.1838,3.66,1.99
306,Vardo,80,NO,92,70.3705,31.1107,-9.01,6.17
307,San Jeronimo,95,PE,64,-11.9472,-75.2829,13.25,1.0
308,Aykhal,100,RU,100,66.0,111.5,-37.61,1.15
309,Nautla,0,MX,74,20.2167,-96.7833,23.7,0.26
310,Planadas,93,CO,79,3.197,-75.6451,22.98,1.62
311,Jiuquan,33,CN,36,39.7432,98.5174,-3.3,0.51
312,Port Macquarie,63,AU,87,-31.4333,152.9167,18.27,4.93
313,Jaru,80,BR,69,-10.4389,-62.4664,28.86,1.82
314,Salamiyah,83,SY,70,35.0113,37.0532,10.46,2.55
315,Rio Grande,76,BR,60,-32.035,-52.0986,28.06,7.45
316,Brae,100,GB,95,60.3964,-1.353,7.85,3.03
317,Swinford,75,IE,99,53.95,-8.95,7.96,11.32
318,Ambovombe,57,MG,81,-25.1667,46.0833,25.91,2.39
319,Gao,43,ML,12,16.6362,1.637,30.12,5.49
320,San Andres,40,CO,78,12.5847,-81.7006,28.01,5.14
321,Elizabeth City,20,US,73,36.2946,-76.2511,9.46,3.09
322,Sola,100,VU,76,-13.8833,167.55,27.79,5.81
323,Kitui,57,KE,73,-1.367,38.0106,19.91,2.31
324,Laguna,75,US,75,38.421,-121.4238,13.38,5.66
325,Peto,20,MX,56,20.1333,-88.9167,26.99,2.56
326,Kamenka,74,RU,89,51.3223,42.7678,-17.35,4.07
327,Rawson,57,AR,42,-43.3002,-65.1023,25.34,5.71
328,Lisala,55,CD,27,2.15,21.5167,31.91,1.31
329,Poum,100,NC,86,-20.2333,164.0167,27.93,9.78
330,Charagua,57,BO,21,-19.8,-63.2167,31.76,2.73
331,Danshui,96,CN,62,22.7984,114.4672,18.02,2.69
332,Puerto Del Rosario,20,ES,68,28.5004,-13.8627,20.86,3.6
333,Nouadhibou,0,MR,50,20.931,-17.0347,22.2,4.14
334,Akdepe,27,TM,79,42.0551,59.3788,6.39,4.87
335,Liwale,88,TZ,68,-9.7667,37.9333,25.67,1.72
336,Takayama,94,JP,96,36.1333,137.25,-1.53,0.77
337,Denizli,0,TR,61,37.8402,29.0698,8.15,0.64
338,Hamilton,75,US,85,39.1834,-84.5333,4.0,3.09
339,Leo,6,BF,12,11.1,-2.1,35.28,4.97
340,Havoysund,34,NO,87,70.9963,24.6622,-7.87,7.89
341,Wasilla,0,US,81,61.5814,-149.4394,-7.61,1.54
342,Vanimo,99,PG,89,-2.6741,141.3028,25.29,1.55
343,Nosy Varika,5,MG,78,-20.5833,48.5333,26.5,3.76
344,Adrar,100,MR,13,20.5022,-10.0711,23.06,7.14
345,Gimli,34,CA,89,50.6336,-96.9907,-14.71,6.48
346,Te Anau,8,NZ,95,-45.4167,167.7167,8.13,0.69
347,Abu Dhabi,20,AE,86,24.4667,54.3667,20.01,1.54
348,Constantine,0,DZ,44,36.365,6.6147,14.67,1.03
349,Mackay,100,AU,75,-21.15,149.2,23.71,2.93
350,Urucui,96,BR,45,-7.2294,-44.5561,33.15,1.25
351,Pastos Bons,83,BR,45,-6.6017,-44.0767,32.1,1.63
352,Aguimes,20,ES,64,27.9054,-15.4461,19.81,3.6
353,Hebi,2,CN,28,35.8992,114.1925,5.6,1.4
